127.0.0.1 - - [23/Nov/2022:13:16:07 +0000] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Nov/2022:13:16:09 +0000] "GET /Phase2Again/ HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [23/Nov/2022:13:16:09 +0000] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Nov/2022:13:16:12 +0000] "GET /Phase2Again/addflight.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [23/Nov/2022:13:16:14 +0000] "POST /Phase2Again/AddFlightDetails HTTP/1.1" 500 23
0:0:0:0:0:0:0:1 - - [23/Nov/2022:13:37:30 +0000] "GET /Phase2Again/searchFlight.jsp HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [23/Nov/2022:13:37:32 +0000] "POST /Phase2Again/SearchFlightDetails HTTP/1.1" 500 1530
0:0:0:0:0:0:0:1 - - [23/Nov/2022:14:05:33 +0000] "POST /Phase2Again/SearchFlightDetails HTTP/1.1" 500 1530
0:0:0:0:0:0:0:1 - - [23/Nov/2022:14:07:39 +0000] "POST /Phase2Again/SearchFlightDetails HTTP/1.1" 500 1530
0:0:0:0:0:0:0:1 - - [23/Nov/2022:14:07:42 +0000] "GET /Phase2Again/addPlaces.jsp HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [23/Nov/2022:14:07:42 +0000] "POST /Phase2Again/addPlaces.jsp HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [23/Nov/2022:14:07:43 +0000] "POST /Phase2Again/addPlaces.jsp HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [23/Nov/2022:14:07:46 +0000] "GET /Phase2Again/addPlaces.jsp HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [23/Nov/2022:14:07:47 +0000] "GET /Phase2Again/addflight.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [23/Nov/2022:14:07:48 +0000] "POST /Phase2Again/AddFlightDetails HTTP/1.1" 500 23
0:0:0:0:0:0:0:1 - - [23/Nov/2022:14:22:06 +0000] "GET /Phase2Again/addPlaces.jsp HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [23/Nov/2022:14:22:08 +0000] "POST /Phase2Again/addPlaces.jsp HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [23/Nov/2022:14:22:08 +0000] "POST /Phase2Again/addPlaces.jsp HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [23/Nov/2022:14:22:09 +0000] "POST /Phase2Again/addPlaces.jsp HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [23/Nov/2022:14:22:09 +0000] "POST /Phase2Again/addPlaces.jsp HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [23/Nov/2022:14:22:10 +0000] "POST /Phase2Again/addPlaces.jsp HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [23/Nov/2022:14:22:11 +0000] "POST /Phase2Again/addPlaces.jsp HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [23/Nov/2022:14:22:12 +0000] "POST /Phase2Again/addPlaces.jsp HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [23/Nov/2022:14:22:12 +0000] "POST /Phase2Again/addPlaces.jsp HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [23/Nov/2022:14:22:21 +0000] "POST /Phase2Again/addPlaces.jsp HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [23/Nov/2022:14:22:58 +0000] "POST /Phase2Again/addPlaces.jsp HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [23/Nov/2022:14:22:59 +0000] "POST /Phase2Again/addPlaces.jsp HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [23/Nov/2022:14:40:10 +0000] "GET /Phase2Again/addPlaces.jsp HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [23/Nov/2022:14:40:12 +0000] "GET /Phase2Again/addflight.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [23/Nov/2022:14:40:17 +0000] "GET /Phase2Again/searchFlight.jsp HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [23/Nov/2022:14:40:20 +0000] "GET /Phase2Again/addPlaces.jsp HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [23/Nov/2022:14:42:12 +0000] "GET /Phase2Again/addPlaces.jsp HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [23/Nov/2022:14:42:14 +0000] "POST /Phase2Again/addPlaces.jsp HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [23/Nov/2022:14:42:15 +0000] "POST /Phase2Again/addPlaces.jsp HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [23/Nov/2022:15:02:40 +0000] "POST /Phase2Again/addPlaces.jsp HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [23/Nov/2022:15:03:32 +0000] "POST /Phase2Again/addPlaces.jsp HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [23/Nov/2022:15:07:01 +0000] "GET /Phase2Again/addPlaces.jsp HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [23/Nov/2022:15:07:03 +0000] "GET /Phase2Again/addflight.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [23/Nov/2022:15:07:10 +0000] "GET /Phase2Again/searchFlight.jsp HTTP/1.1" 200 622
